Section,Specific_Industry,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
C,Aluminium production,"4,349.0","4,222.1","3,511.1","4,161.3","3,811.3","3,552.3","3,981.0","3,771.9","4,019.7","4,115.8","3,999.7","4,119.5","4,028.3","4,180.8","4,184.7","3,987.9","4,027.4","4,003.9","3,992.9","3,604.6","3,796.5","3,617.9","2,955.9",599.4,688.4,594.3,558.9,563.2,576.1,551.7,536.2
C,Processing of nuclear fuel,102.9,121.9,124.7,138.5,134.0,119.1,208.2,215.2,52.5,65.6,71.0,73.8,76.3,82.3,65.1,69.6,64.2,66.4,33.4,62.0,74.3,63.3,71.6,73.6,64.2,45.0,43.5,41.9,42.1,41.4,39.7
C,"Fabricated metal products, except machinery and equipment, excluding weapons and ammunition","4,714.7","4,611.1","4,529.9","4,360.2","4,297.1","4,084.0","4,258.3","4,286.8","4,034.8","4,576.9","3,278.5","3,068.2","2,892.2","3,116.4","3,038.1","3,055.4","3,080.5","2,991.8","2,758.3","2,351.7","2,576.4","2,516.8","2,396.2","2,386.8","2,436.3","3,058.5","2,970.7","3,023.5","3,167.8","3,012.3","2,579.7"
C,Manufacture of weapons and ammunition,181.5,164.2,130.8,82.0,57.1,62.5,186.3,155.6,161.2,133.0,147.3,105.7,147.6,120.9,118.7,104.8,96.9,86.6,71.8,61.0,70.7,74.4,67.7,62.7,67.4,118.7,117.3,124.0,134.9,127.8,106.4
C,"Computer, electronic, communication and optical products","1,259.5","1,493.5","1,450.0","1,218.7","1,019.2",937.9,"1,002.9",926.3,"1,028.2",941.0,"1,138.1","1,068.6",930.0,949.9,"1,038.6","1,162.0",983.4,860.1,775.1,679.4,646.1,621.1,600.5,592.6,604.6,637.8,648.8,656.8,656.6,653.1,618.9
C,Electrical equipment,"1,559.2","1,773.6","1,708.6","1,410.5","1,105.8",977.9,"1,077.5",936.5,926.3,980.7,996.5,"1,004.4",956.5,910.0,906.4,953.3,925.3,863.1,738.2,642.9,649.4,639.2,603.2,589.8,620.8,684.5,701.7,719.3,744.1,749.1,717.3
C,Machinery and equipment n.e.c.,"2,718.9","2,957.1","2,822.0","2,465.7","2,121.8","1,942.8","2,086.4","2,041.5","2,271.2","2,062.8","2,159.8","2,007.2","1,866.7","1,827.0","1,782.9","1,781.4","1,769.5","1,653.2","1,471.6","1,277.6","1,366.6","1,365.3","1,317.5","1,277.9","1,307.7","1,746.0","1,793.9","1,839.6","1,922.8","1,834.7","1,589.5"
C,"Motor vehicles, trailers and semi-trailers","1,993.8","2,164.5","2,308.2","1,793.7","1,679.7","1,661.8","1,565.0","1,547.7","1,358.8","1,833.2","2,176.2","2,227.8","1,925.8","1,963.9","1,705.3","1,788.4","1,847.8","1,593.8","1,016.5",944.2,"1,590.6","1,649.6","1,556.1","1,653.0","1,771.9","1,518.2","1,532.2","1,474.1","1,523.6","1,391.9","1,209.2"
C,Building of ships and boats,236.2,239.3,213.6,166.4,163.2,162.7,190.3,168.9,189.9,190.2,299.5,169.8,165.5,144.0,207.4,268.9,230.4,221.4,189.1,201.2,289.7,237.4,182.6,177.2,241.7,232.7,248.0,272.1,232.7,194.5,221.2
C,Manufacture of air and spacecraft and related machinery,"1,117.8","1,444.0","1,498.4","1,016.5",717.9,725.4,577.7,697.4,952.6,772.6,728.7,604.0,742.1,670.8,668.4,721.8,540.5,494.2,350.7,355.9,581.9,514.9,445.4,474.0,549.0,479.2,520.8,539.7,499.7,432.7,428.3
C,"Manufacture of other transport equipment, excluding ships, boats, air and spacecraft",237.0,235.1,217.1,161.0,114.2,124.4,184.0,178.0,166.5,142.8,153.4,125.1,122.6,208.1,209.1,147.4,132.1,115.2,81.7,84.8,121.3,116.6,108.4,113.5,123.2,110.6,119.8,120.3,119.5,109.6,104.2
C,Furniture,"2,953.7","3,165.9","2,662.5","2,404.8","2,155.8","1,783.3","1,995.2","1,801.9","1,257.4","1,908.7","1,339.0","1,675.9","1,235.7","1,198.4","1,238.9","1,388.1","1,297.0","1,169.4",901.9,802.5,854.9,781.7,744.6,734.2,732.9,750.3,829.1,827.6,846.1,802.0,844.0
C,Other manufactured goods,886.2,"1,165.7",840.9,658.1,643.5,575.5,645.2,585.0,646.1,756.4,683.7,841.4,616.4,"1,017.2",864.6,801.9,731.7,658.7,498.8,505.9,595.2,542.1,517.3,511.3,514.3,526.7,582.8,592.6,611.8,586.3,599.8
C,Repair & maintenance of ships,13.8,14.4,14.0,14.4,14.8,15.0,15.4,14.9,15.2,15.4,15.3,14.9,14.0,14.1,13.9,13.4,13.0,12.7,12.9,12.1,11.6,10.8,11.7,10.8,10.8,11.3,11.7,11.9,11.9,11.6,10.1
C,Repair & maintenance of aircraft  & spacecraft,35.7,41.5,39.0,41.6,42.0,43.8,46.6,42.5,45.7,48.4,49.0,48.6,42.6,45.0,43.8,42.9,40.0,38.9,45.9,38.5,40.3,36.6,40.5,40.1,36.5,38.6,40.0,39.3,38.6,39.1,34.1
C,Rest of repair; Installation,370.1,385.0,375.4,387.0,396.6,399.5,411.4,399.6,405.9,409.9,406.2,395.3,373.2,376.1,365.1,351.8,338.5,328.0,329.3,324.6,303.3,284.7,287.9,283.6,277.1,285.1,293.3,289.4,286.2,283.1,257.3
D,Electricity production - gas,"2,189.9","2,311.7","2,836.7","14,908.3","21,123.3","26,195.9","34,380.8","43,057.1","44,964.9","53,656.3","53,444.2","52,076.8","54,703.6","53,449.1","57,156.4","55,399.4","52,038.1","59,033.1","63,648.9","60,533.9","63,549.5","50,984.2","33,996.8","32,352.1","35,022.6","34,379.8","50,325.4","47,898.5","45,858.0","45,661.9","38,435.4"
D,Electricity production - coal,"188,877.0","189,584.0","177,312.2","147,575.1","139,407.6","131,749.2","124,028.8","106,569.3","110,006.5","92,935.1","104,572.5","116,356.3","109,734.9","120,124.5","116,414.2","118,943.1","130,546.4","119,789.8","109,548.2","90,880.2","94,988.8","95,408.8","126,825.7","119,678.7","94,972.4","77,618.7","38,251.3","30,625.2","27,336.2","19,559.1","18,805.1"
D,Electricity production - nuclear,48.8,50.2,47.3,51.9,54.1,47.8,51.8,75.8,71.5,81.5,76.8,76.2,75.9,77.2,88.9,85.2,98.9,91.6,100.8,84.8,88.1,76.7,80.6,80.0,102.9,92.8,90.5,87.2,86.3,95.5,84.2
D,Electricity production - oil,"13,320.8","9,113.9","8,779.5","8,898.5","6,557.5","6,024.4","5,265.1","1,280.1",718.3,"1,074.5","1,026.7","1,353.2",866.1,818.0,628.3,"1,139.3","1,431.3",608.4,"1,106.8",604.1,270.9,156.8,168.1,143.9,157.3,139.0,137.5,128.5,122.3,125.1,138.7
D,Electricity production - other,746.6,776.6,965.0,"1,207.1","1,679.3","1,810.7","1,908.4","2,347.7","3,154.6","3,581.1","4,058.0","4,608.4","4,825.9","5,223.2","5,729.1","5,882.0","6,123.7","6,512.5","7,245.3","8,084.5","8,391.4","8,395.3","9,062.7","9,049.5","10,033.4","11,933.3","13,653.5","13,680.1","15,037.7","17,109.3","16,973.4"
D,Manufacture of gas; distribution of gaseous fuels through mains and steam and air conditioning supply,"11,414.7","11,479.4","11,511.5","11,352.3","10,920.2","11,371.8","11,419.7","10,428.4","11,066.3","11,148.1","12,112.9","11,821.1","11,251.3","10,865.3","10,460.6","10,553.3","9,620.0","9,094.9","8,900.0","8,538.9","8,774.0","8,182.6","7,526.2","7,392.7","7,268.4","7,188.7","7,196.9","6,965.3","6,721.7","6,870.4","6,333.6"
